Department Code | Department Name
--------------------------------------------------------------------------------
AC ENG          | Academic English
AFAM            | African American Studies
ANATOMY         | Anatomy and Neurobiology
ANTHRO          | Anthropology
ARABIC          | Arabic
ARMN            | Armenian
ART             | Art
ART HIS         | Art History
ARTS            | Arts
ASIANAM         | Asian American Studies
BANA            | Business Analytics
BATS            | Biomedical and Translational Science
BIO SCI         | Biological Sciences
BIOCHEM         | Biological Chemistry
BME             | Biomedical Engineering
CBE             | Chemical and Biomolecular Engineering
CBEMS           | Chemical Engineering and Materials Science
CHC/LAT         | Chicano/Latino Studies
CHEM            | Chemistry
CHINESE         | Chinese
CLASSIC         | Classics
CLT&THY         | Culture and Theory
COGS            | Cognitive Sciences
COM LIT         | Comparative Literature
COMPSCI         | Computer Science
CRITISM         | Criticism
CRM/LAW         | Criminology, Law and Society
CSE             | Computer Science and Engineering
DANCE           | Dance
DATA            | Data Science
DEV BIO         | Developmental and Cell Biology
DRAMA           | Drama
E ASIAN         | East Asian Languages and Literatures
EARTHSS         | Earth System Science
EAS             | East Asian Studies
ECO EVO         | Ecology and Evolutionary Biology
ECON            | Economics
ECPS            | Embedded and Cyber-Physical Systems
EDUC            | Education
EECS            | Electrical Engineering & Computer Science
EHS             | Environmental Health Sciences
ENGLISH         | English
ENGR            | Engineering
ENGRCEE         | Civil and Environmental Engineering
ENGRMAE         | Mechanical and Aerospace Engineering
ENGRMSE         | Materials Science and Engineering
EPIDEM          | Epidemiology
EURO ST         | European Studies
FIN             | Finance
FLM&MDA         | Film and Media Studies
FRENCH          | French
GDIM            | Game Design and Interactive Media
GEN&SEX         | Gender and Sexuality Studies
GERMAN          | German
GLBL ME         | Global Middle East Studies
GLBLCLT         | Global Cultures
GREEK           | Greek
HEBREW          | Hebrew
HISTORY         | History
HUMAN           | Humanities
I&C SCI         | Information and Computer Science
IN4MATX         | Informatics
INNO            | Innovation and Entrepreneurship
INTL ST         | International Studies
IRAN            | Iranian Studies
ITALIAN         | Italian
JAPANSE         | Japanese
KOREAN          | Korean
LATIN           | Latin
LINGUIS         | Linguistics
LIT JRN         | Literary Journalism
LPS             | Logic and Philosophy of Science
LSCI            | Language Science
M&MG            | Microbiology and Molecular Genetics
MATH            | Mathematics
MED HUM         | Medical Humanities
MGMT            | Management
MGMT EP         | Executive MBA
MGMT FE         | Fully Employed MBA
MGMT HC         | Health Care MBA
MGMTMBA         | Management MBA
MGMTPHD         | Management PhD
MOL BIO         | Molecular Biology and Biochemistry
MPAC            | Master of Professional Accountancy
MSE             | Materials Science and Engineering
MUSIC           | Music
NET SYS         | Networked Systems
NEURBIO         | Neurobiology and Behavior
NUR SCI         | Nursing Science
PATH            | Pathology and Laboratory Medicine
PED GEN         | Pediatrics Genetics
PERSIAN         | Persian
PHARM           | Medical Pharmacology
PHILOS          | Philosophy
PHMD            | Pharmacy
PHRMSCI         | Pharmaceutical Sciences
PHY SCI         | Physical Science
PHYSICS         | Physics
PHYSIO          | Physiology and Biophysics
POL SCI         | Political Science
PORTUG          | Portuguese
PP&D            | Planning, Policy, and Design
PSCI            | Psychological Science
PSY BEH         | Psychology and Social Behavior
PSYCH           | Psychology
PUB POL         | Public Policy
PUBHLTH         | Public Health
REL STD         | Religious Studies
ROTC            | Reserve Officers' Training Corps
RUSSIAN         | Russian
SOC SCI         | Social Science
SOCECOL         | Social Ecology
SOCIOL          | Sociology
SPANISH         | Spanish
SPPS            | Social Policy and Public Service
STATS           | Statistics
SWE             | Software Engineering
TOX             | Toxicology
UCDC            | UC Washington DC
UNI AFF         | University Affairs
UNI STU         | University Studies
UPPP            | Urban Policy and Public Planning
VIETMSE         | Vietnamese
VIS STD         | Visual Studies
WOMN ST         | Women's Studies
WRITING         | Writing
